Times / Type,001___402376_Palo_Alto___main.xlsx,002___402377_Palo_Alto___main.xlsx,003___402379_Palo_Alto___main.xlsx,004___425696_Palo_Alto___off.xlsx,005___425697_Palo_Alto___main.xlsx,006___425897_Palo_Alto___on.xlsx,007___402380_Palo_Alto___main.xlsx,008___404529_East_Palo_Alto___main.xlsx,009___422116_East_Palo_Alto___main.xlsx,010___403059_East_Palo_Alto___off.xlsx,011___403060_East_Palo_Alto___on.xlsx,012___400859_East_Palo_Alto___main.xlsx,013___403061_East_Palo_Alto___on.xlsx,014___404533_East_Palo_Alto___main.xlsx,015___408267_East_Palo_Alto___on.xlsx,016___400981_East_Palo_Alto___main.xlsx,017___402398_East_Palo_Alto___main.xlsx,018___404534_Menlo_Park___main.xlsx,019___401474_Menlo_Park___main.xlsx,020___400388_Menlo_Park___main.xlsx,021___401927_Menlo_Park___main.xlsx,022___401653_Menlo_Park___main.xlsx,023___401872_Redwood_City___main.xlsx,024___405673_Redwood_City___main.xlsx,025___401874_Redwood_City___main.xlsx,026___403205_Redwood_City___off.xlsx,027___403206_Redwood_City___off.xlsx,028___405679_Redwood_City___main.xlsx,029___401835_Redwood_City___main.xlsx,030___404531_Redwood_City___main.xlsx,031___404532_Redwood_City___main.xlsx,032___410094_Redwood_City___off.xlsx,033___410095_Redwood_City___on.xlsx,034___401834_Redwood_City___main.xlsx,035___401833_Redwood_City___main.xlsx,036___410093_Redwood_City___on.xlsx,037___401929_Redwood_City___main.xlsx,038___401652_Redwood_City___main.xlsx,039___401882_Redwood_City___main.xlsx,040___412787_Redwood_City___on.xlsx,041___401832_Redwood_City___main.xlsx,042___412788_Redwood_City___on.xlsx,043___401869_Redwood_City___main.xlsx,044___401859_Belmont___main.xlsx,045___410111_Belmont___off.xlsx,046___410110_Belmont___on.xlsx,047___401910_Belmont___main.xlsx,048___401443_Belmont___main.xlsx,049___414212_Belmont___on.xlsx,050___402383_San_Mateo___main.xlsx,051___409888_San_Mateo___off.xlsx,052___401914_San_Mateo___main.xlsx,053___409676_San_Mateo___on.xlsx,054___410511_San_Mateo___on.xlsx,055___400661_San_Mateo___main.xlsx,056___400291_San_Mateo___main.xlsx,057___400107_San_Mateo___main.xlsx,058___400645_San_Mateo___main.xlsx,059___405859_San_Mateo___main.xlsx,060___405852_San_Mateo___on.xlsx,061___402385_San_Mateo___main.xlsx,062___402387_San_Mateo___main.xlsx,063___405828_San_Mateo___on.xlsx,064___405827_San_Mateo___main.xlsx,065___402389_San_Mateo___main.xlsx,066___428962_San_Mateo___main.xlsx,067___405847_San_Mateo___off.xlsx,068___405848_San_Mateo___main.xlsx,069___405845_San_Mateo___off.xlsx,070___405849_San_Mateo___on.xlsx,071___403261_San_Mateo___main.xlsx,072___400753_San_Mateo___main.xlsx,073___400720_San_Mateo___main.xlsx,074___401199_San_Mateo___main.xlsx,075___400935_San_Mateo___main.xlsx,076___403287_San_Mateo___off.xlsx,077___403288_San_Mateo___on.xlsx,078___400527_San_Mateo___main.xlsx,079___400007_San_Mateo___main.xlsx,080___400817_San_Mateo___main.xlsx,081___403086_San_Mateo___off.xlsx,082___400420_San_Mateo___main.xlsx,083___403087_San_Mateo___on.xlsx,084___400797_Burlingame___main.xlsx,085___422114_Burlingame___off.xlsx,086___403295_Burlingame___on.xlsx,087___400381_Burlingame___main.xlsx,088___400441_Burlingame___main.xlsx,089___403258_Burlingame___main.xlsx,090___412782_Burlingame___on.xlsx,091___412785_Burlingame___on.xlsx,092___401336_Millbrae___main.xlsx,093___400119_Millbrae___main.xlsx,094___405863_Millbrae___on.xlsx,095___401411_Millbrae___main.xlsx,096___400975_Millbrae___main.xlsx,097___413207_Millbrae___off.xlsx,098___413208_Millbrae___off.xlsx,099___413209_Millbrae___off.xlsx,100___413195_Millbrae___main.xlsx,101___413212_Millbrae___on.xlsx,102___400125_Millbrae___main.xlsx,103___400331_Millbrae___main.xlsx,104___400593_Millbrae___main.xlsx,105___405837_Millbrae___off.xlsx,106___400010_Millbrae___main.xlsx,107___405836_Millbrae___off.xlsx,108___405835_Millbrae___off.xlsx,109___405834_Millbrae___off.xlsx,110___405862_Millbrae___off.xlsx,111___400473_Millbrae___main.xlsx,112___400039_Millbrae___main.xlsx
Type,main,main,main,off,main,on,main,main,main,off,on,main,on,main,on,main,main,main,main,main,main,main,main,main,main,off,off,main,main,main,main,off,on,main,main,on,main,main,main,on,main,on,main,main,off,on,main,main,on,main,off,main,on,on,main,main,main,main,main,on,main,main,on,main,main,main,off,main,off,on,main,main,main,main,main,off,on,main,main,main,off,main,on,main,off,on,main,main,main,on,on,main,main,on,main,main,off,off,off,main,on,main,main,main,off,main,off,off,off,off,main,main
9/3/24 6:00,3258,4698,4777,714,4832,346,4492,4248,3153,42,205,6029,440,6029,447,6029,6029,6029,4217,5006,4136,6029,6029,6029,4184,731,197,4387,3889,4518,4429,429,3051,4045,5299,18,2222,5410,3950,115,3895,332,3961,5556,235,289,4502,3862,102,4961,1322,4101,317,290,4296,4983,4634,3410,4453,1501,4677,6029,135,6030,6029,7324,80,6497,276,224,7658,7027,7124,6030,6686,219,379,5671,7578,7694,60,7670,40,3837,516,435,5269,5918,5210,398,135,5667,4745,471,4299,4868,124,139,862,4992,611,6325,5449,6706,397,3793,298,354,1254,180,3934,3310
9/3/24 7:00,4324,5709,5907,672,5754,709,5534,5444,4350,101,319,6465,807,6465,322,6465,6465,6463,5056,6181,4934,6465,6463,6463,6261,1086,262,6007,5614,6421,5990,845,2756,5286,6862,64,3565,6994,5147,179,5247,570,5528,6677,417,540,5771,5199,220,6520,559,5710,610,620,5731,6728,5639,4079,5525,1131,5576,6463,359,6464,6463,7522,123,6538,775,487,7463,7503,6909,6464,6822,472,672,6039,6934,8415,70,7654,62,4259,656,851,5919,6327,6380,815,291,7163,5771,617,5476,6224,111,197,984,6582,640,7439,6785,7841,441,4846,521,504,1957,169,4903,3839
9/3/24 8:00,4520,6037,6169,548,6023,1248,5857,6686,6462,118,326,6186,599,6186,342,6186,6186,6185,5245,6512,5085,6186,6185,6185,5941,1204,339,5988,5360,6283,5953,895,1549,5483,6618,89,4010,7260,5258,171,5140,784,5436,6497,554,624,5780,5214,275,6439,1153,5803,559,547,5744,6858,5680,4095,5320,1111,5590,6185,443,6183,6185,6910,117,5850,1008,499,7015,7784,7027,6183,6749,606,801,6263,6793,8702,91,7878,91,4425,752,1030,6140,6475,6269,376,305,7144,5818,718,5605,6384,138,269,749,6764,588,7636,6882,7959,445,4828,469,392,2092,234,4906,3897
9/3/24 9:00,4025,5525,5583,591,5631,958,5390,5919,5427,89,295,5976,388,5976,286,5976,5976,5974,4895,6177,4741,5976,5974,5974,5033,962,381,5258,4604,5433,5304,689,870,4986,6298,64,3381,7055,4908,167,4713,699,5163,6052,508,506,5358,4730,251,6062,237,4999,548,529,5272,6057,5263,3750,4959,1158,5128,5974,179,5979,5974,6640,107,5615,887,379,6921,7392,6849,5979,6517,470,539,5934,6593,8399,74,7921,85,4208,712,781,5720,6212,5838,851,425,6430,5276,656,4903,5727,130,340,1222,5979,737,7142,6170,7389,532,4331,702,519,1794,234,4455,3675
9/3/24 10:00,3506,4982,5039,535,4980,802,4767,5237,4697,94,236,5702,389,5702,236,5702,5702,5703,4363,5208,4282,5702,5703,5703,4303,877,231,4632,3995,5079,4946,658,828,4565,5741,56,3198,6837,4549,205,4283,685,4741,5632,434,494,4912,4361,228,5750,183,4683,522,432,4928,5716,5008,3914,5008,1171,5350,5703,132,5705,5703,7394,113,6413,612,378,7757,7230,7255,5705,6736,495,468,5437,7339,8024,86,8008,78,4161,755,700,5016,5831,5027,877,433,5454,4692,813,4155,5165,133,401,1147,5120,1165,6773,5704,7219,552,3923,745,469,1855,201,4095,3598
9/3/24 11:00,3300,4899,5014,524,4976,851,4731,5169,4643,83,231,5489,417,5489,267,5489,5489,5488,4199,4884,4057,5489,5488,5488,4308,816,162,4632,4005,4875,4923,549,933,4704,5912,48,3291,6974,4698,222,4486,789,4938,6018,432,514,5200,4538,231,6028,219,4956,534,414,5308,6046,5286,3974,5218,970,5432,5488,136,5493,5488,7275,136,6254,586,380,7410,6932,6958,5493,6580,550,454,5272,7020,7565,81,7939,109,4205,650,829,4826,5970,5238,901,466,5382,4756,845,3966,5093,124,396,1201,4925,1098,6559,5411,6682,606,3551,666,460,1949,214,3613,3287
9/3/24 12:00,3159,4824,4915,525,4788,939,4642,5362,4923,82,233,5433,454,5433,283,5433,5433,5430,4182,5001,4047,5433,5430,5430,4391,760,157,4714,4091,5169,5158,621,962,4843,6026,47,3579,7142,4857,225,4660,871,5135,6380,374,556,5268,4873,243,6449,198,5235,608,371,5644,6369,5616,4090,5380,887,5589,5430,133,5433,5430,7379,164,6434,706,387,7723,7063,7209,5433,6782,541,445,5376,7362,7546,84,7972,111,4294,623,744,4977,6011,5237,965,647,5453,4857,922,4148,5342,157,398,1224,5171,1140,6792,5621,7035,581,3718,738,509,2068,196,3823,3534
9/4/24 6:00,3331,4944,5021,730,4983,353,4731,4302,3114,39,188,6108,453,6108,150,6108,6108,6108,4268,5130,4157,6108,6108,6108,4381,785,232,4564,4051,4614,4463,453,1969,3970,5324,27,1780,5738,4094,109,3944,324,4024,5595,245,311,4478,3869,105,5055,374,4269,331,277,4387,5034,4638,3436,4511,1430,4708,6108,137,6110,6108,7303,87,6438,252,219,8029,7278,7452,6110,6940,250,363,5709,7149,7730,66,7482,52,3811,520,479,5236,5924,5071,389,104,5668,4704,433,4342,4863,133,162,727,5059,585,6105,5298,6510,398,3849,266,352,1249,170,4018,3310
9/4/24 7:00,4228,5756,5861,686,5780,745,5519,5595,4694,95,340,6597,829,6597,301,6597,6597,6600,5405,6516,5292,6597,6600,6600,6148,1076,251,6095,5522,6731,6173,934,2609,5437,6839,80,2654,7623,5477,194,5301,619,5621,6846,379,543,6049,5316,246,6403,775,5581,598,606,5682,6817,5741,4090,5553,1279,5581,6600,356,6602,6600,7482,114,6550,809,452,7829,8060,7386,6602,7183,494,755,6399,7225,8768,79,7948,72,4377,729,915,6175,6462,6323,631,285,7127,5747,733,5438,6157,126,188,778,6563,627,7535,6742,7909,401,4730,373,473,2072,168,4844,3846
